PLAYER_NAME,TEAM_ABBREVIATION,POSITION,HEIGHT_INCHES,WEIGHT_LBS,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT
Blake Wesley,SAS,SG,76,190,3.7,1.1,2.0,0.6,0.1,0.435,0.293,0.623
JT Thor,2TM,PF,81,203,3.6,2.4,0.3,0.4,0.5,0.424,0.286,0.682
Baylor Scheierman,BOS,SG,78,205,3.6,2.1,1.1,0.5,0.1,0.355,0.317,0.75
Jae'Sean Tate,HOU,SF,76,230,3.6,2.3,0.9,0.5,0.1,0.473,0.348,0.681
Jaylon Tyson,CLE,SG,78,215,3.6,2.0,0.9,0.3,0.1,0.43,0.345,0.792
Elfrid Payton,2TM,PG,75,195,3.5,3.3,6.9,1.0,0.5,0.328,0.167,0.571
Luka Garza,MIN,C,82,243,3.5,1.4,0.3,0.2,0.1,0.495,0.278,0.686
Cory Joseph,ORL,PG,74,200,3.5,1.5,1.4,0.5,0.1,0.403,0.364,0.778
Doug McDermott,SAC,SF,79,225,3.5,0.5,0.2,0.1,0.0,0.427,0.436,0.6
Dario Šarić,DEN,C,82,225,3.5,3.1,1.4,0.4,0.1,0.362,0.269,0.7
Jamaree Bouyea,MIL,PG,74,180,3.4,1.0,2.0,0.8,0.4,0.5,0.2,0.667
Bruno Fernando,TOR,C,81,240,3.4,3.0,1.1,0.2,0.5,0.531,0.0,0.75
Andre Jackson Jr.,MIL,SG,78,209,3.4,2.7,1.2,0.5,0.2,0.477,0.395,0.5
Isaac Jones,SAC,PF,80,245,3.4,1.4,0.3,0.1,0.3,0.651,0.375,0.639
Kevin Knox,GSW,SF,80,215,3.3,1.2,0.4,0.1,0.3,0.5,0.267,0.75
Damion Lee,PHO,SG,78,210,3.3,0.8,0.4,0.2,0.0,0.365,0.243,0.952
Jeenathan Williams,HOU,SG,78,215,3.3,0.7,0.5,0.4,0.2,0.435,0.231,0.625
Elijah Harkless,UTA,SG,75,195,3.2,2.1,0.8,1.0,0.1,0.314,0.28,0.5
Zeke Nnaji,DEN,PF,82,240,3.2,1.6,0.4,0.4,0.7,0.496,0.327,0.614
Cam Reddish,LAL,SF,79,217,3.2,2.0,0.7,1.0,0.3,0.404,0.277,0.615
Delon Wright,2TM,PG,77,185,3.1,1.7,1.9,0.9,0.3,0.344,0.274,0.6
Kylor Kelley,2TM,C,84,215,3.1,3.5,0.5,0.1,0.3,0.636,0.0,0.6
Gary Harris,ORL,SG,76,210,3.0,1.3,0.6,0.5,0.3,0.383,0.356,0.583
Maxi Kleber,DAL,PF,82,240,3.0,2.8,1.3,0.3,0.5,0.385,0.265,0.762
Taze Moore,POR,SG,77,195,3.0,4.0,0.5,1.0,0.0,0.2,0.25,0.5
Rayan Rupert,POR,SG,79,205,3.0,1.3,0.5,0.3,0.1,0.408,0.271,0.767
P.J. Tucker,NYK,SF,77,245,3.0,2.7,0.0,0.3,0.3,0.429,0.5,0.0
Pete Nance,2TM,C,81,225,2.9,1.6,0.8,0.2,0.2,0.438,0.375,0.5
Markelle Fultz,SAC,PG,76,209,2.9,1.0,1.3,0.5,0.1,0.418,0.5,1.0
Taj Gibson,CHO,C,81,232,2.9,3.2,0.6,0.2,0.5,0.495,0.5,0.6
Tyler Smith,MIL,PF,81,224,2.9,1.1,0.2,0.1,0.2,0.48,0.433,0.75
RayJ Dennis,IND,PG,73,180,2.7,1.1,1.3,0.6,0.2,0.333,0.286,1.0
David Duke Jr.,SAS,SG,76,204,2.7,0.8,0.7,0.2,0.0,0.429,0.5,0.5
Keshad Johnson,MIA,SF,78,225,2.7,1.8,0.3,0.3,0.3,0.692,0.429,0.444
Reece Beekman,2TM,PG,75,190,2.6,1.1,1.8,0.9,0.1,0.327,0.175,0.762
Jae Crowder,SAC,PF,78,235,2.6,2.2,0.7,0.3,0.0,0.318,0.267,0.833
Josh Minott,MIN,SF,80,205,2.6,1.0,0.4,0.3,0.3,0.489,0.326,0.895
Hunter Tyson,DEN,PF,80,215,2.6,1.5,0.4,0.2,0.1,0.375,0.311,0.75
Jaden Springer,2TM,PG,76,202,2.5,1.3,0.8,0.6,0.1,0.389,0.25,0.711
